productId,name,template_serial_number,dimensions,description,final_price,category
18,FECHADOR D - 4,,4 mm,,,
18,FECHADOR D - 3,,5 mm,,,
,,,,,,
19,N - 56,,3 mm,6 BANDAS,,
19,N- 58,,3 mm,18 BANDAS,,
19,N - 46,,4 mm,16 BANDAS,,
19,N - 48,,4 mm,18 BANDAS,,
19,N - 36,,5 mm,6 BANDAS,,
19,N -38,,5 mm,8 BANDAS,,
19,N-26,,7 mm,6 BANDAS,,
19,N- 28,,7 mm,8 BANDAS,,
,,,,,,
20,N - 110,,9 mm,10 BANDAS,,
20,N -06,,11 mm,6 BANDAS,,
20,N - A6,,15 mm,6 BANDAS,,
20,N - A81,,15 mm,8 BANDAS,,
20,N - 310 A,,5 mm,A-My N-Z 10 BANDAS,,
,,,,,,
21,S-68,,,GOMA PAGADO,,
21,S-70,,,SELLO FECHADOR C/11 LEYENDAS,,
21,S-76,,,SELLO MANUAL 12 LEYENDAS,,
21,S -76,,,SELLO CON LEYENDA FISCAL O DIDACTICO,,
,,,,,,
22,SM - 1,,65 X 45 mm,,,
22,SM - 2,,40 mm,,,
,,,,,,
23,TINTA PARA SELLOS COLOR 28 ml.,,,,,
23,TINTA PARA SELLOS COLORES SR1 AL SR7,,,,,
23,TINTA PARA SELLOS EMINNENT,,,,,
,,,,,,
24,COJIN S-821,,,,,
24,COJIN S-822,,,,,
24,COJIN S-822,,,DOS TINTAS,,
24,COJIN S - 822,,,NEUTRO,,
24,COJIN S-823,,,,,
24,COJIN S-823,,,DOS TINTAS,,
24,COJIN S-823,,,NEUTRO,,
24,COJIN S-824,,,,,
24,COJIN S-824,,,DOS TINTAS,,
24,COJIN S -824,,,NEUTRO,,
24,COJIN S-825,,,,,
24,COJIN S-825,,,DOS TINTAS,,
24,COJIN S-825,,,NEUTRO,,
24,COJIN S-826,,,,,
24,COJIN S - 826,,,DATER,,
,,,,,,
25,COJIN S-827,,,,,
25,COJIN S-827,,,DATER,,
25,COJIN S-828,,,,,
25,COJIN S-828,,,DATER,,
25,COJIN S-829,,,,,
25,COJIN S-829,,,DATER,,
25,COJIN S-829,,,DOS TINTAS,,
25,COJIN S-830,,,,,
25,COJIN S-830,,,NEUTRO,,
25,COJIN S-830,,,DATER,,
25,COJIN S-830,,,DOS TINTAS,,
25,COJIN S-831,,,,,
25,COJIN S-832,,,,,
25,COJIN S-833,,,,,
25,COJIN S-834,,,,,
25,COJIN S-834,,,DATER,,
25,COJIN S-835,,,,,
25,COJIN S-835,,,DATER,,
25,COJIN S-836,,,,,
25,COJIN S-836,,,DATER,,
25,COJIN S-837,,,,,
25,COJIN S-837,,,DATER,,
25,COJIN S-1821,,,,,
25,COJIN S-1822,,,,,
25,COJIN S-1823,,,,,
,,,,,,
26,COJIN S-1824,,,,,
26,COJIN S-1825,,,,,
26,COJIN R 512,,,,,
26,COJIN R 517,,,,,
26,COJIN R 524,,,,,
26,COJIN R 532,,,,,
26,COJIN R 532- D,,,,,
26,COJIN R 538,,,,,
26,COJIN R 538- D,,,,,
26,COJIN R 542,,,,,
26,COJIN R - 542 - D,,,,,
26,COJIN R-552,,,,,
26,COJIN R-552 D,,,,,
26,COJIN S-510,,,,,
26,COJIN S-520,,,,,
26,COJIN S-524,,,,,
26,COJIN S-530,,,,,
26,COJIN S-530D,,,,,
26,COJIN S-542,,,,,
26,COJIN S-542D,,,,,
26,COJIN S-542,,,DOS TINTAS,,
26,COJIN S-400-7,,,"PARA SELLOS S400, S409, S449",,
26,COJIN S-400-7 D,,,"PARA SELLOS S401, S402",,
26,COJIN S-308,,,,,
26,COJIN S-311,,,"PARA S-310,S-311,S-314",,
26,COJIN S - 722,,,,,
26,COJIN S -723,,,,,
26,COJIN S -905,,,,,
26,COJIN S - 906,,,,,
26,COJIN S -907,,,,,
26,COJIN S - 908,,,,,
26,COJIN S-913,,,BICOLOR,,
26,COJIN S - 915,,,,,
26,COJIN S-916,,,BICOLOR,,
26,COJIN S -917,,,,,
26,COJIN S-918,,,BICOLOR,,
26,COJIN S-Q 32,,,,,
26,COJIN S-Q 42,,,,,
,,,,,,
27,S - 2HF,,88 X 57 mm,COJIN PARA SELLO,,
27,S - 2HF/S,,88 X 57 mm,COJIN SIN TINTA,,
27,S-3HF,,110 X 70 mm,COJIN PARA SELLO,,
27,SP 3HF,,110 X 70 mm,COJIN PARA SELLO SIN TINTA,,
27,S -4F,,178 X 128 mm,COJIN PARA SELLO,,
,,,,,,
28,GOMA LASER ROJA,,29.7 X 21 cm,LIBRE DE OLOR,,
28,GOMA LASER GRIS,,21 X 30 cm,,,
,,,,,,
29,3913 PRINTY LITTLE FELL AZUL C.N 58x22mm,60326,,Little fellow,185.51,"Texto , Printy , 3913"
29,3913 PRINTY LITTLE FELL ROJO C.N 58x22mm,60283,,Little fellow,185.51,"Texto , Printy , 3913"
29,43132 PRINTY FECH 3.0 ROJO 32x32mm 56789,73000162,,,850.4,"Texto , Printy , 43132 , 3"
29,4642 PRINTY 4.0 AZUL CIELO C.NEGRO 42mm,166970,,,504.63,"Texto , Printy , 4642 , 4"
29,4642 PRINTY 4.0 C. GRIS C. NEGRO 42mm,167053,,,504.63,"Texto , Printy , 4642 , 4"
29,4642 PRINTY 4.0 C. NEGRO C. NEGRO 42mm,166684,,,504.63,"Texto , Printy , 4642 , 4"
29,4642 PRINTY 4.0 C. ROJO C. NEGRO 42mm,167322,,,504.63,"Texto , Printy , 4642 , 4"
29,4645 PRINTY 4.0 C. AZUL C. NEGRO 45mm,171372,,,518.36,"Texto , Printy , 4645 , 4"
29,4645 PRINTY 4.0 C. NEGRO C. NEGRO 45mm,171327,,,10,"Texto , Printy , 4645 , 4"
29,4645 PRINTY 4.0 C. GRIS C. NEGRO 45mm,171469,,,518.36,"Texto , Printy , 4645 , 4"
29,4645 PRINTY 4.0 C. ROJO C. NEGRO 45mm,171416,,,518.36,"Texto , Printy , 4645 , 4"
29,4822 PRINTY FORMU TEXTO 4.0 NEG C.N 4mm,74032,,Formulario,424.05,"Texto , Printy , 4822"
29,4908 PRINTY 3.0 NEGRO C. NEGRO 15x07mm,99519,,,251.34,"Texto , Printy , 4908 , 3"
29,4908 PRINTY 3.0 C. ROJO C. NEGRO 15x07mm,3525,,,251.34,"Texto , Printy , 4908 , 3"
29,4908 PRINTY 3.0 AMARILLO C.NEGRO 15x07mm,73000172,,,251.34,"Texto , Printy , 4908 , 3"
29,4910 PRINTY 4.0 CREMA PASTEL C.NEG26x9mm,180317,,,271.94,"Texto , Printy , 4910 , 4"
29,4910 IDEAL 2.0 C. AZULC. NEGRO 27x19mm,202650,,,133.66,"Texto , Ideal , 4910 , 2"
29,4910 IDEAL 2.0 C. NEGRO C. NEGRO 27x19mm,202647,,,133.66,"Texto , Ideal , 4910 , 2"
29,4910 IDEAL 2.0 C. ROJO C. NEGRO 27x19mm,202673,,,133.66,"Texto , Ideal , 4910 , 2"
29,4910 PRINTY 4.0 C.AZUL PASTEL C.N 26x9mm,180316,,,271.94,"Texto , Printy , 4910 , 4"
29,4910 PRINTY 4.0 ROSA PASTEL C.NEG 26x9mm,180314,,,271.94,"Texto , Printy , 4910 , 4"
29,4910 PRINTY 4.0 VERDE PASTEL C.N 26x9mm,180313,,,271.94,"Texto , Printy , 4910 , 4"
29,4911 IDEAL 2.0 C. NEGRO C. NEGRO 38x14mm,202676,,,142.73,"Texto , Ideal , 4911 , 2"
29,4911 IDEAL 2.0 C.ROJO C.NEGRO 38x14mm,202682,,,142.73,"Texto , Ideal , 4911 , 2"
29,4911 PRINTY 4.0 ROJO C.N 38x14mm S/TAPA,43086,,,232.34,"Texto , Printy , 4911 , 4"
29,4911 IDEAL 2.0 C.AZUL C.NEGRO 38x14mm,202679,,,142.73,"Texto , Ideal , 4911 , 2"
29,4911 PRINTY 4.0 AZUL PASTEL C.N 38x14mm,155405,,,290.42,"Texto , Printy , 4911 , 4"
29,4911 PRINTY 4.0 CREMA PASTEL C.N 38x14mm,155407,,,290.42,"Texto , Printy , 4911 , 4"
29,4911 PRINTY 4.0 ROSA PASTEL C.N 38x14mm,155409,,,290.42,"Texto , Printy , 4911 , 4"
29,4911 PRINTY 4.0 VERDE PASTEL C.N 38x14mm,155408,,,290.42,"Texto , Printy , 4911 , 4"
29,4912 IDEAL 2.0 C. ROJO C. NEGRO 47x18mm,202691,,,174.35,"Texto , Ideal , 4912 , 2"
29,4912 IDEAL 2.0 C. NEGRO C. NEGRO 47x18mm,202685,,,174.35,"Texto , Ideal , 4912 , 2"
29,4912 PRINTY 2.0 C.ROJO C.NEGRO 47x18mm,61826,,,174.35,"Texto , Printy , 4912 , 2"
29,4912 PRINTY 2.0 C.ROJO SIN CARTU 47x18mm,152912,,,103.96,"Texto , Printy , 4912 , 2"
29,4912 PRINTY P DATOS 4.0 C.G C.N 47x18mm,73000174,,,408.32,"Texto , Printy , 4912 , 4"
29,4912 PRINTY 4.0 AZUL PASTEL C.N 47x18mm,180276,,,354.82,"Texto , Printy , 4912 , 4"
29,4912 PRINTY 4.0 CREMA PASTEL C.N 47x18mm,180274,,,354.82,"Texto , Printy , 4912 , 4"
29,4912 PRINTY 4.0 ROSA PASTEL C.N 47x18mm,180277,,,354.82,"Texto , Printy , 4912 , 4"
29,4912 PRINTY 4.0 VERDE PASTEL C.N 47x18mm,180275,,,354.82,"Texto , Printy , 4912 , 4"
29,4913 PRINTY 4.0 AZUL PASTEL C.N 58x22mm,180445,,,425.26,"Texto , Printy , 4913 , 4"
29,4913 PRINTY 4.0 CREMA PASTEL C.N 58x22mm,180446,,,425.26,"Texto , Printy , 4913 , 4"
29,4913 IDEAL 2.0 C. NEGRO C. NEGRO 58x22mm,202694,,,198.36,"Texto , Ideal , 4913 , 2"
29,4913 PRINTY 2.0 AZUL S/CARTUCHO 58x22mm,152914,,,198.36,"Texto , Printy , 4913 , 2"
29,4913 PRINTY 2.0 NEGRO S/CARTUCHO 58x22mm,152913,,,198.36,"Texto , Printy , 4913 , 2"
29,4913 PRINTY 2.0 ROJO S/CARTUCHO 58x22mm,152915,,,198.36,"Texto , Printy , 4913 , 2"
29,4913 PRINTY 4.0 ROSA PASTEL C.N 58x22mm,180448,,,425.26,"Texto , Printy , 4913 , 4"
29,4913 PRINTY 4.0 VERDE PASTEL C.N 58x22mm,180447,,,425.26,"Texto , Printy , 4913 , 4"
29,4914 PRINTY 4.0 AZUL PASTEL C.N 64x26mm,189294,,,530.39,"Texto , Printy , 4914 , 4"
29,4914 PRINTY 4.0 CREMA PASTEL C.N 64x26mm,189277,,,530.39,"Texto , Printy , 4914 , 4"
29,4914 PRINTY 4.0 ROSA PASTEL C.N 64x26mm,189280,,,530.39,"Texto , Printy , 4914 , 4"
29,4914 PRINTY 4.0 VERDE PASTEL C.N 64x26mm,189293,,,530.39,"Texto , Printy , 4914 , 4"
29,4915 PRINTY 4.0 AZUL PASTEL C.N 70x25mm,189328,,,550.53,"Texto , Printy , 4915 , 4"
29,4915 PRINTY 4.0 CREMA PASTEL C.N 70x25mm,189325,,,550.53,"Texto , Printy , 4915 , 4"
29,4915 PRINTY 2.0 NEGRO SIN CART 70x25mm,153886,,,294.61,"Texto , Printy , 4915 , 2"
29,4915 PRINTY 2.0 C. ROJO C. NEGRO 70x25mm,118349,,,294.61,"Texto , Printy , 4915 , 2"
29,4915 PRINTY 4.0 ROSA PASTEL C.N 70x25mm,189326,,,550.53,"Texto , Printy , 4915 , 4"
29,4915 PRINTY 4.0 VERDE PASTEL C.N 70x25mm,189327,,,550.53,"Texto , Printy , 4915 , 4"
29,4916 PRINTY 2.0 C.NEGRO C.NEGRO 70x10mm,72642,,,497.31,"Texto , Printy , 4916 , 2"
29,4924 PRINTY 4.0 C.NEGRO C.NEGRO 40x40mm,176685,,,657.48,"Texto , Printy , 4924 , 4"
29,4924 PRINTY 2.0 C.NEGRO C.NEGRO 40x40mm,177194,,,,"Texto , Printy , 4924 , 2"
29,4926 PRINTY 4.0 C. AZUL C. NEGRO 75x38mm,166366,,,601.65,"Texto , Printy , 4926 , 4"
29,4926 PRINTY 4.0 C. GRIS C. NEGRO 75x38mm,166324,,,601.65,"Texto , Printy , 4926 , 4"
29,4926 PRINTY 4.0 C.NEGRO C.NEGRO 75x38mm,165872,,,601.65,"Texto , Printy , 4926 , 4"
29,4926 PRINTY 4.0 C. ROJO C. NEGRO 75x38mm,166367,,,601.65,"Texto , Printy , 4926 , 4"
29,4926 PRINTY 2.0 C.NEGRO C.NEGRO 75x38mm,166990,,,388.51,"Texto , Printy , 4926 , 2"
29,4927 PRINTY 4.0 C.NEGRO C.NEGRO 60x40mm,187447,,,592.93,"Texto , Printy , 4927 , 4"
29,4927 PRINTY 4.0 C. ROJO C. NEGRO 60x40mm,187936,,,592.93,"Texto , Printy , 4927 , 4"
29,4941 PRINTY 4.0 C.NEGRO C.NEGRO 41x24mm,139924,,,611.57,"Texto , Printy , 4941 , 4"
29,5200 PROF 4.0 METAL C.NEGRO 41x24mm,121366,,,1345.58,"Texto , Professional , 5200 , 4"
29,5203 PROFESSIONAL 3.0 NEG C.NEG 49x28mm,74277,,,1584.58,"Texto , Professional , 5203 , 3"
29,5203 PROF 4.0 METAL C. NEGRO 49x28mm,120074,,,1584.58,"Texto , Professional , 5203 , 4"
29,5204 PROF 4.0 METAL C. NEGRO 56x26mm,119718,,,1786.17,"Texto , Professional , 5204 , 4"
29,52045 PROF 4.0 METAL C. NEGRO 45mm,150746,,,1953.58,"Texto , Professional , 52045 , 4"
29,5206 PROF 4.0 METAL C. NEGRO 56x33mm,119722,,,1863.78,"Texto , Professional , 5206 , 4"
29,5208 PROF 4.0 METAL C.NEGRO 68x47mm,140270,,,2502.86,"Texto , Professional , 5208 , 4"
29,5212 PROF 3.0 NEGRO C.NEGRO 116x70mm,103267,,,5017.73,"Texto , Professional , 5212 , 3"
29,5253/DB PROF TYPO 4.0 METAL C.N 49x28mm,120453,,,3148.04,"Texto , Professional , 5253/DB , 4"
29,5274 PROF 4.0 METAL C.NEGRO 60x40mm,140268,,,1822.14,"Texto , Professional , 5274 , 4"
29,4907 PRINTY 4.0 NEGRO C.NEGRO 13x06mm,73000171,,,271.65,"Texto , Printy , 4907 , 4"
29,8910 IMPRINT 111430 AZUL C.NEGRO 26x9mm,73000067,,Imprint,184.91,"Texto , Imprint , 8910"
29,8910 IMPRINT 111180 NEGRO C.NEGRO 26x9mm,73000066,,Imprint,184.91,"Texto , Imprint , 8910"
29,8910 IMPRINT 111258 ROJO C.NEGRO 26x9mm,73000068,,Imprint,184.91,"Texto , Imprint , 8910"
29,8913 IMPRINT (111383) C.NEG C.N 58x22mm,73000072,,Imprint,276.6,"Texto , Imprint , 8913"
29,8913 IMPRINT (111508) ROJO C.NEG 58x22mm,73000073,,Imprint,276.6,"Texto , Imprint , 8913"
29,9342 MICRO PRINTY 4.0 C.ROJO CNEGRO 42mm,158843,,Micro,369.86,"Texto , Printy , 9342"
29,9511 EXHIBIDOR POCKET (8 SELLOS),148684,,Pocket,1949.04,"Texto , Printy , 9511"
29,9511 POCKET PRINTY AZUL C.NEGRO 38x14mm,148735,,Pocket,251.16,"Texto , Printy , 9511"
29,9511 POCKET PRINTY BLANCO C.NEG 38x14mm,148737,,Pocket,251.16,"Texto , Printy , 9511"
29,9511 POCKET PRINTY C.NEG C.NEG 38x14mm,148636,,Pocket,251.16,"Texto , Printy , 9511"
29,9511 POCKET PRINTY PLATA C.NEGRO 38x14mm,148842,,Pocket,251.16,"Texto , Printy , 9511"
29,9511 POCKET PRINTY ROJO C.NEGRO 38x14mm,148739,,Pocket,251.16,"Texto , Printy , 9511"
29,9511 POCKET P. ROSA FUCSIA C.N 38x14mm,148751,,Pocket,251.16,"Texto , Printy , 9511"
29,9511 POCKET P. ROSA/TURQUESA C.N 38x14mm,148755,,Pocket,251.16,"Texto , Printy , 9511"
29,9511 POCKET PRINTY VERDE MAN C.N 38x14mm,148840,,Pocket,251.16,"Texto , Printy , 9511"
29,9512 EXHIBIDOR POCKET (8 SELLOS),148859,,Pocket,2338.61,"Texto , Printy , 9512"
29,9512 POCKET PRINTY AZUL C.NEGRO 47x18mm,148920,,Pocket,301.37,"Texto , Printy , 9512"
29,9512 POCKET PRINTY BLANCO C.NEG 47x18mm,148997,,Pocket,301.37,"Texto , Printy , 9512"
29,9512 POCKET PRINTY NEGRO C.NEG 47x18mm,148858,,Pocket,301.37,"Texto , Printy , 9512"
29,9512 POCKET PRINTY PLATA C.NEG 47x18mm,149204,,Pocket,301.37,"Texto , Printy , 9512"
29,9512 POCKET PRINTY ROJO C.NEGRO 47x18mm,149168,,Pocket,301.37,"Texto , Printy , 9512"
29,9512 POCKET P. ROSA FUCSIA C.N 47x18mm,149192,,Pocket,301.37,"Texto , Printy , 9512"
29,9512 POCKET P. ROSA/TURQUESA C.N 47x18mm,149196,,Pocket,301.37,"Texto , Printy , 9512"
29,9512 POCKET PRINTY VERDE MAN C.N 47x18mm,149200,,Pocket,301.37,"Texto , Printy , 9512"
29,9512 POCKET P. TYPO AZUL C.ROJO 49x28mm,151772,,Pocket,641.23,"Texto , Printy , 9512"
29,9512 POCKET P. TYPO AZUL C.AZUL 47x18mm,151773,,Pocket,641.23,"Texto , Printy , 9512"
29,26497 DELRIN BLANCO 279mmx305mm,26497,,Insumo,1791.58,"Texto , 26497"
29,8913 IMPRINT  C. AZULC. NEGRO 58x22mm,111640,,Imprint,276.6,"Texto , Imprint , 8913"
29,8915 IMPRINT  C. NEGRO C. NEGRO 70x25mm,111482,,Imprint,389.98,"Texto , Imprint , 8915"
29,8915 IMPRINT  C. ROJO C. NEGRO 70x25mm,111525,,Imprint,389.98,"Texto , Imprint , 111525"
29,9430 MOBILE PRINTY C.AZUL C.NEG 30X30mm,73000398,,Mobile,396.44,"Texto , Printy , 9430"
29,9430 MOBILE PRINTY VERDE C.NEG 30x30mm,73000399,,Mobile,396.44,"Texto , Printy , 9430"
29,9413 MOBILE PRINTY AZUL C.NEGRO 58x22mm,34698,,Mobile,432.45,"Texto , Printy , 9413"
29,9413 MOBILE PRINTY PLATA C.NEGRO 58x22mm,34700,,Mobile,432.45,"Texto , Printy , 9413"
29,9413 MOBILE PRINTY ROJO C.NEGRO 58x22mm,34696,,Mobile,432.45,"Texto , Printy , 9413"
29,9425 MOBILE PRINTY C.AMARILLO C.N25x25mm,34786,,Mobile,384.38,"Texto , Printy , 9425"
29,9425 MOBILE PRINTY C.AZUL C.NEGRO25x25mm,34823,,Mobile,384.38,"Texto , Printy , 9425"
29,9425 MOBILE PRINTY NEGRO C.NEGRO 25x25mm,34827,,Mobile,384.38,"Texto , Printy , 9425"
29,9425 MOBILE PRINTY C.PLATA C.NEG 25x25mm,34825,,Mobile,384.38,"Texto , Printy , 9425"
29,9425 MOBILE PRINTY C.ROJO C.NEGRO25x25mm,34821,,Mobile,384.38,"Texto , Printy , 9425"
29,9425 MOBILE PRINTY C.ROSA C.NEGRO25x25mm,34788,,Mobile,384.38,"Texto , Printy , 9425"
29,9425 MOBILE PRINTY C.VERDE C.NEG 25x25mm,34830,,Mobile,384.38,"Texto , Printy , 9425"
29,9430 MOBILE PRINTY AMARILLO C.N 30x30mm,20008,,Mobile,396.44,"Texto , Printy , 9430"
29,9430 MOBILE PRINTY NARANJA C.NEG 30x30mm,20005,,Mobile,396.44,"Texto , Printy , 9430"
29,9430 MOBILE PRINTY ROJO C.NEGRO 30x30mm,19922,,Mobile,396.44,"Texto , Printy , 9430"
29,9430 MOBILE PRINTY C.ROSA C.NEGRO30x30mm,20011,,Mobile,396.44,"Texto , Printy , 9430"
29,9440 MOBILE PRINTY AZUL C.NEGRO 40x40mm,46318,,Mobile,515.83,"Texto , Printy , 9440"
29,9440 MOBILE PRINTY NEGRO C.NEGRO 40x40mm,46305,,Mobile,539.24,"Texto , Printy , 9440"
29,9440 MOBILE PRINTY C.PLATA C.N 40x40mm,46304,,Mobile,515.79,"Texto , Printy , 9440"
29,9440 MOBILE PRINTY ROJO C.NEGRO 40x40mm,46316,,Mobile,515.79,"Texto , Printy , 9440"
29,44045 PRINTY 3.0 C.NEGRO C.NEGRO 45x30mm,45188,,,437.84,"Texto , Printy , 44045 , 3"
29,44055 PRINTY 3.0 C.GRIS C.NEGRO 55x35mm,87904,,,504.63,"Texto , Printy , 44055 , 3"
29,44055 PRINTY 3.0 C.NEGRO C.NEGRO 55x35mm,45257,,,504.63,"Texto , Printy , 44055 , 3"
29,44055 PRINTY 3.0 C.ROJO C.NEGRO 55x35mm,86575,,,504.63,"Texto , Printy , 44055 , 3"
